country,year,life_expectancy,population,annual_co2_emissions_scaled,animal_protein_per_day_person_scaled,fat_per_day_person_scaled,carbs_per_day_person_scaled,fertility_rate_scaled,rural_population_by_pop_scaled,fixed_line_subscription_per_hundred_scaled,mobile_line_subscription_per_hundred_scaled
Afghanistan,2020.0,62.6,38972236.0,0.0001126320297196,0.4626836610967741,0.4642978882672488,0.489453052705373,0.1116837768000558,0.5595268440332691,0.098084717707425,0.1858391248643637
Albania,2020.0,77.0,2866850.0,0.0001344526106072,0.1334296884941227,0.132254487444585,0.0942806231558701,0.8895872616802849,0.7388909953078387,0.0052329760805855,0.0
Algeria,2020.0,74.5,43451668.0,0.0025576924570471,0.6618798216934596,0.5955957406195185,0.5645769428157382,0.3087785459878482,0.1982355839804822,0.069810317102004,0.0
Angola,2020.0,62.3,33428490.0,0.0004331658062442,0.0281447510559804,0.0414086657951978,0.4823392709914752,0.3857112926880368,0.8232544001909473,0.0023725691869023,1.991986038692184e-06
AntiguaandBarbuda,2020.0,78.8,92672.0,3.17425765642933e-05,0.4733842558589508,0.4686426350704584,0.5874684342611528,0.0744605070186465,0.7170584052026014,0.5000126041836437,0.5311170212044908
Argentina,2020.0,75.9,45036032.0,1.0177075153387468e-05,0.2373040857162903,0.357507113306158,0.5541531687946116,0.3991898875619805,0.5580172829686539,0.1555900692337304,0.0034340589650351
Armenia,2020.0,72.2,2805610.0,1.2350819360907124e-05,0.6561958047204004,0.6358834337080341,0.2252323509780492,0.1050213003701376,0.0,0.3595271829351958,0.0
Australia,2020.0,84.3,25670052.0,0.0001847273758877,0.2556961864332364,0.2992387211262151,0.3777199129001042,0.2598505482226413,0.3503254247384039,0.0819170512547377,0.6817727701539902
Austria,2020.0,81.5,8907780.0,0.0014339568249872,0.4049540005795055,0.4719320490600903,0.4183070168592363,0.0041902367483762,0.3294696119606687,0.3664334878104415,0.0069685969982754
Azerbaijan,2020.0,66.9,10284952.0,1.9359343044277414e-05,0.003731339332074,0.0184401937733157,0.3192850276775697,0.5839932956212026,0.9024195011846295,0.0019289823399631,0.248554951141116
Bahrain,2020.0,79.2,1477478.0,0.0001758385343406,0.1084084108106546,0.2695787423946051,0.6413139075398512,0.5542565821635589,0.4982815709325904,0.0357928486662935,0.2317219949429932
Bangladesh,2020.0,72.0,167420944.0,5.631973628573648e-06,0.1187824445581216,0.2751170762291208,0.172052470311837,0.6763740484670716,0.6546834858363234,0.0025305178796472,0.0
Barbados,2020.0,77.4,280704.0,0.0006766975634907,0.2159337793702109,0.2743298809901598,0.5548496735593919,0.2309937844821566,0.1953816066561211,0.0346267691153386,0.0
Belarus,2020.0,72.5,9633745.0,0.1749826333457021,0.2909368638712613,0.4179238657039624,0.550935728943358,0.0773657378308541,0.5837764702857708,0.3064531538380877,0.1586585810106585
Belgium,2020.0,80.8,11561716.0,5.490038983284865e-05,0.2213216629169478,0.2335558486019774,0.4653904568236505,0.3789929464348068,0.6109342233722046,0.0419647081982687,0.0
Belize,2020.0,72.9,394931.0,0.0001994904343173,0.0845785879213927,0.2270300425039266,0.574942633884043,0.6517075214749632,0.5878215798540439,0.0186249866299371,0.0190889819192894
Benin,2020.0,60.1,12643121.0,0.0006950840502921,0.1989067980115508,0.2334882195043081,0.8498778310647809,0.0685243382917801,0.2570467709464167,0.0481361705671655,0.00026592790399
Bermuda,2009.0,80.0,63375.0,0.0001880389056203,0.409625614430513,0.5498939264702272,0.4629657542112825,0.0328933584747538,0.3443043092506667,0.4175080688657582,0.5918532468526553
Bhutan,2020.0,71.6,772512.0,5.434360518799133e-06,0.1255551904993495,0.1384978123500988,0.134217590578663,0.7771632097213492,0.3107190256088143,0.0075449306323501,0.0
Bolivia,2020.0,64.5,11936169.0,3.853455640603022e-06,0.4368378287255816,0.3906291373518144,0.6428465737574535,0.1416998393742579,0.3478320256014515,0.3027077200099644,0.3421467056119509
BosniaandHerzegovina,2020.0,76.2,3318410.0,0.0006495917757565,0.1953293874774029,0.3310160390284146,0.3238618662261276,0.3398701026608003,0.4506158735638501,0.0587985035682969,0.0
Botswana,2020.0,65.6,2546404.0,0.0002001735586755,0.2515335004125233,0.3080321111313736,0.6089177266013331,0.1044905370486765,0.2838898927375728,0.1556844802586098,0.7480417180014276
Brazil,2020.0,74.0,213196304.0,2.845628780753001e-05,0.1528031976807256,0.2195058730223244,0.5035486874832004,0.2762902437321042,0.797282435324924,0.0402203832757188,0.3935129912152603
Bulgaria,2020.0,73.6,6979181.0,0.0108237699878325,0.7233126040500357,0.8747677428473812,0.4412097936935836,0.0888050841539213,0.2691667847214719,0.6246847859975924,0.0193114841625352
BurkinaFaso,2020.0,59.7,21522632.0,0.0001764607675413,0.381238511364989,0.188314592529646,0.4274407605248135,0.6494028912633564,0.4336124774738009,0.0145496536125253,0.0
Burundi,2020.0,61.6,12220229.0,0.0301459311331256,0.5433844060339789,0.7147913341191647,0.5123248560537909,0.0573084712619596,0.2842293637261146,0.2656374920370444,0.0
Cambodia,2020.0,70.4,16396864.0,0.0001834521403053,0.1189459940573776,0.1698156651448797,0.6846499850422595,0.4815699420350583,0.5488640171429329,0.0156370445447605,0.0577363175559505
Cameroon,2020.0,60.8,26491090.0,2.7665835368431958e-06,0.3254956831901017,0.38674295556346,0.3264755991031183,0.3481667714225853,0.6938777916941229,0.1323203829431083,0.0
Canada,2020.0,82.0,37888704.0,0.0004301722696599,0.1918147926105521,0.2809066001811323,0.4713569315518161,0.2707730986800754,0.507000713273101,0.1175304675504417,0.5117323135575551
CentralAfricanRepublic,2020.0,54.6,5343024.0,3.967614425757013e-05,0.0554561530854138,0.171176598671407,0.303540315441954,0.4411062225015714,0.6536223650332933,0.0102833470812299,0.0048574096337253
Chad,2020.0,52.8,16644707.0,0.0023286423591035,0.5132791717251786,0.6547297003837581,0.5992375002434179,0.1094489838675885,0.3722027618232952,0.0652127332364795,0.0
Chile,2020.0,79.4,19300318.0,9.394413438554404e-05,0.9353677891974156,0.7811589520609581,0.3771645981642536,0.1396186884558977,0.0699520944365744,0.6549108656640856,0.4724975484479197
China,2020.0,78.1,1424929792.0,0.003340612945816,0.0611220676305302,0.19548042230332,0.5752543927533084,0.3253439485997625,0.751703759109308,0.0048170987436254,1.6565171973746365e-05
Colombia,2020.0,74.8,50930656.0,0.005755564610426,0.0885578263122153,0.2444010574683474,0.3172921751927831,0.3587261680284935,0.307566787081373,0.0729134189740929,0.4066239938605236
Comoros,2020.0,64.2,806168.0,0.0017014820443895,0.6633143966993057,0.7758053300789037,0.5101535840233239,0.2712759270898806,0.0865844083220615,0.4813053697848659,0.5555616455885753
CostaRica,2020.0,79.3,5123107.0,0.0002157606837284,0.3074289027324292,0.3396654785157658,0.5144309304297173,0.261484740554508,0.5194060297327928,0.0927592312953477,0.0027968881306923
